lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-83.6875,43.0125,2009-07-05 00:02:00,flint,mi,us,light,60.0,Extremely bright golden/yellow globe-shaped object spotted traveling west to east at midnight in Genesee County&#44 MI.,2009,7,5
-117.3,34.4263889,2009-07-06 03:30:00,hesperia,ca,us,light,3600.0,extremely bright white light,2009,7,6
-118.2427778,34.0522222,2009-07-06 23:10:00,los angeles,ca,us,light,210.0,Unconventional Object Over Los Angeles&#44 Ca.,2009,7,6
-81.02305559999999,29.210555600000003,2009-07-14 04:10:00,daytona beach,fl,us,other,7200.0,1 white bright object with 3 small red green and white ones around it.  ((NUFORC Note:  Twinkling star?  PD)),2009,7,14
-86.2483333,43.2341667,2009-08-12 22:30:00,muskegon,mi,us,triangle,5.0,Three low flying orange lights forming a triangle with a haze around the object on a clear night.,2009,8,12
-121.52694440000002,45.9975,2009-08-28 01:00:00,trout lake (rural washington),wa,us,fireball,300.0,Blinking white light / high acceleration into space / left a reddish white trail,2009,8,28
-115.1363889,36.175,2009-11-17 23:14:00,las vegas,nv,us,flash,8.0,Green Flash,2009,11,17
-122.78194440000001,45.0052778,2010-02-19 09:00:00,silverton,or,us,light,240.0,3 orange orbs flying over silverton oregon,2010,2,19
-90.1527778,29.983888899999997,2010-03-13 21:10:00,metairie,la,us,fireball,180.0,7 to 9 objects glowing bright red yellow fading towards an an easterly direction away from Metairie la. we were looking south when we n,2010,3,13
-90.0366667,32.6125,2010-03-16 06:10:00,canton,ms,us,light,300.0,what appeared to be a twinkling star moved quickly up at a 45 degrees then stopped and became fixed and did not move thereafter,2010,3,16
-93.9922222,29.9741667,2010-04-15 22:18:00,nederland,tx,us,light,900.0,On 4/15/10 from 10:18pm cst to 10:36pm cst in Nederland&#44 TX&#44 myself&#44 my wife&#44 and cousin observed a ufo facing due west toward Beaumont,2010,4,15
-96.0419444,41.154444399999996,2010-07-04 21:00:00,papillion,ne,us,circle,600.0,Birght amber-orange fire ball drifting across the sky,2010,7,4
-84.1227778,43.525,2010-08-11 20:00:00,freeland,mi,us,light,600.0,First colorful light far in sky then 3 lights in a row&#44 Saginaw County&#44 MI,2010,8,11
-90.57,38.408888899999994,2010-08-31 23:00:00,house springs,mo,us,disk,120.0,August 31&#44 2010&#44 strange saucer shaped craft with large dome on top and many lights hovered over our yard in House Springs&#44 Missouri,2010,8,31
-122.97194440000001,45.300277799999996,2010-09-01 22:45:00,newberg,or,us,chevron,20.0,Black V shaped object completely  silent moving across the night sky.,2010,9,1
-81.9311111,35.715,2010-11-05 21:01:00,nebo,nc,us,light,180.0,Brightly glowing orangish colored light flying too low to be &quot;normal&quot; aircraft.,2010,11,5
-93.2280556,38.70444439999999,2010-11-30 00:00:00,sedalia,mo,us,triangle,240.0,Triangular space craft over fight club in sedalia&#44 mo 11/31/10.,2010,11,30
-119.77138889999999,36.7477778,2010-12-26 17:02:00,fresno,ca,us,sphere,15.0,Myself and three others viewed a blue orb like sphere stream across the sky.,2010,12,26
-89.01861109999999,42.6827778,2011-02-02 18:20:00,janesville,wi,us,flash,900.0,On our deck on the outskirts of Janesville&#44 we observed one flashing object.  ((NUFORC Note:  Sirius??  PD)),2011,2,2
-78.4269444,33.8941667,2011-06-28 21:00:00,ocean isle beach,nc,us,light,3600.0,Strange lights over Ocean Isle Beach,2011,6,28
-119.01583329999998,36.0652778,2011-06-29 04:00:00,porterville,ca,us,disk,2700.0,disk shaped object getting brighter and dissapearing also moved a little.  ((NUFORC Note:  Possible sighting of celestial body?  PD)),2011,6,29
-86.72888890000002,39.02,2011-07-01 01:00:00,cincinnati (suburbs),in,us,rectangle,240.0,One reddish orange  aircraft.,2011,7,1
-122.4327778,47.15555560000001,2011-07-04 21:30:00,parkland,wa,us,fireball,900.0,&quot;Fireball&quot; sighting south of Tacoma Washington lasted several minutes.,2011,7,4
-115.98305559999999,36.2083333,2011-09-15 19:15:00,pahrump,nv,us,flash,10.0,SECOND EVENT IN TWO NIGHTS THIRTY MINUTES APART. MORE DRAMATIC SAME COLOR OF GREEN WHIT LIGHT OVER PAHRUMP&#44 NV.,2011,9,15
-86.01388890000001,39.955555600000004,2011-12-02 16:00:00,fishers,in,us,circle,300.0,Two Orange colored objects.,2011,12,2
-84.55,33.9525,2011-12-23 20:18:00,marietta,ga,us,fireball,90.0,Fireball over Marietta&#44 Ga,2011,12,23
-75.83361109999998,39.6066667,2012-01-01 12:03:00,elkton,md,us,diamond,240.0,((HOAX??))  Abduction.,2012,1,1
-73.20527779999999,41.1669444,2012-01-08 20:30:00,bridgeport,ct,us,fireball,420.0,Orange Reddish Orbs/Stars,2012,1,8
-106.4863889,31.758611100000003,2012-02-01 15:00:00,el paso,tx,us,circle,7200.0,Strange circular aircraft in the sky,2012,2,1
